,title,location,company,summary,salary,url
211,Registered Nurse,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1j0fP6nr8cYiyX3IGan2wZbttR0MOh3lm6AgcbYQoOjqpE9G_MfYJF92M0QMboQJ0lu9o0CPTp_RuPYmnv-fCUbWSKcSXYMrmLMiFgd94K6A4FPuYdXJQOm9IaO6SavP9O63S5Eue5QcGAfCUgfpJBKFn3nYIsjuT9yxXIjvZkLEzM8Y6jnn0J5GtCcMdew-JAZ6zzoNEb-O9fjMI9PIlnFXmEkPsHX6lKQiAPU0zuEI9xUIMXbrPA0KVATlBloEHUYmo-2NmA9yZGBmomWaH4H7JRuROT_zTLYdFJisfXOig4b5UgRtW2VQyZ_xFExrV3YqB7MQTct1maPhGQFnPmpLGeB6KNGks230pSG_3kSM2vw_9B1bgCQ_bjBDPpZ20_UAgxdvEyL6Y=&p=2&fvj=1&vjs=3
212,GP Doctor with dermatology and aesthetic experience,Abu Dhabi,Everlast Wellness Medical Center,"We are seeking a highly-skilled, GP Doctor with dermatology and aesthetic experience to join our growing healthcare team.Social distancing guidelines in place.","AED12,000 - AED15,000 a month",https://uae.indeed.com/company/everlast-wellness/jobs/GP-Doctor-Dermatology-Aesthetic-Experience-cad4b6443610d46c?fccid=582213d847361384&vjs=3
215,IT Support Analyst,Dubai,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., Cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=70c726c4266387fc&fccid=9628b0bd10bde506&vjs=3
216,"Branch Coordinator- Khalifa, Abu Dhabi",UAE,Silkor,An Arabic-speaking Assistant Branch Manager is in charge of assisting the Branch Manager in Silkor’s management and operations of the Center and in ensuring the…,,https://uae.indeed.com/rc/clk?jk=c7b68dfe4dda4e89&fccid=860de0522965617a&vjs=3
219,Adjunct Assistant Professor,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries in the United Arab Emirates, housing, a furniture allowance, annual vacation…",,https://uae.indeed.com/rc/clk?jk=b922619267f2ee85&fccid=9628b0bd10bde506&vjs=3
222,Specialist Dermatologist,Dubai,Fattan Dental & Derma Clinic,"We are looking for an experienced and passionate Dermatologist to join our healthcare team!As a Dermatologist at our clinic, you will be responsible for…",,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CN_PW9fZd2Bqzk4KKx0hvYiJK6wuGJDlkpAWqRsVrv5gu3FIpn57FN_e0mqW8Sm0jFG_C5upQ9WXyIAuTz7h0A3Oa5qDlS_3ts6A52zMj9UB0ZuVN5Kwrmcr6XijyF-TP5lvyWE5ptxX_gZtdYU4f_M6LEB0R1MpHJodSj02wmJWGStooQKEAHHl1MzbNSXYsZCSny4uxqLuiD9pnwFPRnraKXuISqDDaW8loJBARkYS38qkGrja6WHglQp3V0C1e0RnUldURFxD1BK5XuRwLLCM5kli9mLstMkoelzzoYsJNDbq3s0GyWIF3gJNTcfp_dehP9dQNGapvDK07kPUXcWXJPxAO36fmr9CKx9yz9bn18W_oek14AFg_phyLf7M7rSKP8SnVotWLdTA1tx2N8UeQEeNAnIExNeozYU_25AS-Fbrxj4XvkwfdanFu2YGRAz8ac_J9PNM2b7cvVMkl2&p=13&fvj=1&vjs=3
223,Senior Operations Officer (UAE Nationals Only with Family Bo...,Abu Dhabi,MDC Business Management Services,"\*Preferred - Healthcare and others (airline, hospitality), industry or sector within UAE only.Reporting to the Operations Manager, the Senior Operations…","AED30,000 - AED35,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXjjAlOCbQxIMFcoVa-id-9VsDv4se0BFeHHAzdcsaRj6vCn3qpHJvMvMgnTPb8MC3NxyjTZvS2QQoCTgnrXQI111bMH273qTwVXarTNAEyee3ng1njbbnpBEKZFMyeYgH5Vr_SlaDW8yGqEwE5fjPabbWkQ5skD0qEdPFKds5knIq2VeLGEsHASgjsP91Wb8s_kMDPXQXR9ExOeWqQq9HkCfWPNrIgO7n8NYJwTPMHU7ZmLk1RT6x-TD1ZYqa76O3nsW0B9QQy1SpmC8bXRqJG6RL4wdACe_OKGJIh-wSEZeWadrxSkCl3-4zo16kKps_KOFCvvlNRgULxZ2grbgsws7U18_pE_Bj-vOwbWDgahrlgVRmYguwgjtBucRBT1zByHLmm2zh7jBfx_exeBQwMfK1zcfXOi3GqJemWJTDwAw7nK2KpGo6tbnB7O3jyvgCHkTeC2bBy5wDbUTvc1_1Muur892BivLoOIbhBKxTC54IjSfBfJpN&p=14&fvj=1&vjs=3
224,"Patient Relationship Executive at Aims Healthcare, Dubai",Dubai,Aims Healthcare LLC,"Customer centric and service oriented with minimum 2 years healthcare experience in customer care, Customer service or front office.","AED2,000 - AED4,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AYnSiOySX41EcwOmQYJl3y-tfMmK8ojmVBNkVpGKyx3VTh3CXp6iz4FBp_ZKCWaxx5qIsp5SLs0SSxkXyqiw6acmzd9-JUSmofDZwqBtpc_PK90sarR-xBWcGn3_YYbarbiQkqo-UanBH7lDVrfHgGPH1PSXYn9ZbV1OYSzBetC4rK1EZ2yWpAQoESLAhFKpt06wpCAxG3HYbaDs2XpM5-Tm3aEg7waJ5mZKeosGeNOZnx5O6ZdqQMM9NeVTUQXhRy9odn1DDa0xzBhvV17gi7mdC7C3cQcuHzh0aroOZ8zychI_gqGzFDRYfSvf9BLAlIH_pV5qyv7A1lyGNcFK6eUdp2lfk66VC001L1JoMxCV9lsv55510J5RR9S1sgpIfUIhofTA9m6rPe_-fectZqDdRNmeVmzqDXkmr3REby8K3ljjKr1_JooCVKQWwIAlp20sFhZGAVNtXAFdDEzWqwJ9U4eOM1uYQ=&p=15&fvj=1&vjs=3
225,General Practitioner,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1jn9TWs52YXmQf-fYYkDbRxnZ-lagDTk3jchppXgeEBW9krHbqVxiWSQitMHwZheynTDuqLDuKf98boGendI1Tqr0RCpWdlsOIKTYIZ2YfbVIXpTuXPxFZyxiGYErEbi-uteOr3A2BOf0_WOJOJvVebZwbUFZo0M2qBjy51hvXEK8FZVxKTQkR8g-ExM4WFotSYx0bzFBwJCx0do7If-9ASUP281d6UwsiDq9ud_cTYvDHpUCpRoXl9OWqNZwflzw6DReHb0qAReG0lrev9m261FCrCnme4UjV6-ku0eZTeB9x2rXGyBWNHjInbIm7qrKDj80RK1sVmPbvFO68ZVywfKdYkl6hkw74aM83AsZ5XuIAR6PN6Dve5YanmXc7MxTe9BI0x1qUb94=&p=16&fvj=1&vjs=3
226,FEMALE Physiotherapist PT,Abu Dhabi,Private healthcare facility,"Willing to work 48 hours per week.Able to join by April or May 2021.With Driver's license or willing to take the driving license.Up to AED8,500.00 per month.","AED8,500 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVfliTICGuZN_p9ROzTwDIhmm_OaZ7Z3Ke_m-gwQ3s3y0IW14r2rOSwgj4Pf7zqWcwQGeEak9T9tlK8A9lnl9m5kMXM6atPWG_XjZQIOS1LXiZke69ENLnxzlumCmJywUA0SbW7JUUf0S-eeSn6_JmAmdTQb-0YVULrf-cM4D5oNusJmVQyK_Obe88j_o8u4KkERa8JEf33SRYY3Q6vgkyZPXRuvF4qCzcI9iHznNtFdc8Ft60L9emKztIwIr08TSDG6G2zfWKdExquob7o7xIpUiaINlsHuHb3gb_hXUafkbcXbJIoGjvgXghqNsT-NNkVaJeO9xtRhfLqxyKXP3iwLpSQLJluKEntIm0n66JvSnxDA2To-XRa7VY-xTukTT0kLQNFGurdHeYSQWw9CXSul1gqL4FssrA__ZbI2ZDMye8LehMuDbLVY5wsFoCdIkkGdmGNsPcA==&p=17&fvj=1&vjs=3
227,Graduate Technical Intern,Dubai,InterSystems,"In healthcare, business, government, and other sectors where lives and livelihoods are at stake, InterSystems is the power behind what matters™.",,https://uae.indeed.com/rc/clk?jk=352914ab2ffca979&fccid=6b4b2a01b2417a65&vjs=3
228,Health Economist for Health Information System,Dubai,3M,Enhance and analyze healthcare data with 3M’s proprietary methodologies in support of data driven healthcare system improvement.,,https://uae.indeed.com/rc/clk?jk=79f5e182ba28b2b5&fccid=595d42593839d3a2&vjs=3
229,Male Registered Nurse for School,Abu Dhabi,Via Medica Intl,Via Medica International Healthcare LLC is urgently looking fork Male Registered Nurse to be part of our Academic Health Division.,,https://uae.indeed.com/rc/clk?jk=4336fce2a2883e26&fccid=03a1b11f55201a40&vjs=3
230,Adoption Specialist,Dubai,3M,Experience in Healthcare / Healthcare IT is a must.We search candidates with a passion for healthcare and who are team players.,,https://uae.indeed.com/rc/clk?jk=bec1a444f2331731&fccid=595d42593839d3a2&vjs=3
231,IT Infrastructure Engineer II,Dubai,Talabat,"Comprehensive healthcare as well as subsidized gym membership and parking.As part of the Delivery Hero network, Talabat is the pioneer of the online food…",,https://uae.indeed.com/rc/clk?jk=765974460dcb49cc&fccid=8948005a95e365ae&vjs=3
232,Psychiatrist,Abu Dhabi,Euphoria Medical Center,"We are looking for a compassionate, experienced Psychiatrist to join our medical facility.You will be responsible for assessing patients, diagnosing or ruling…",,https://uae.indeed.com/company/Euphoria-Medical-Cneter/jobs/Psychiatrist-a656e19c63da8cdb?fccid=5c3eb4525f6cc827&vjs=3
233,Data Scientist,Dubai,GRMC Advisory Services,"We play an increasingly vital role in the region, advising leading private and public institutions in core sectors including real estate development, retail…",,https://uae.indeed.com/rc/clk?jk=9d346397c3caaf04&fccid=359f9296934ddf35&vjs=3
234,Data Engineer,Abu Dhabi,Synergein Technology LLC,"Two or more years of experience in healthcare domain.Understand the current data architecture and expand /optimize company data pipeline architecture, as well…",,https://uae.indeed.com/company/Synergein-Technology-LLC/jobs/Data-Engineer-1ab2574b8586cd7f?fccid=c0ee64975678fd03&vjs=3
235,Mako Product Specialist,Dubai,Stryker,"Stryker is one of the world’s leading medical technology companies and, together with our customers, is driven to make healthcare better.",,https://uae.indeed.com/rc/clk?jk=df9157a7c09520e2&fccid=9d4dbca3ed8b9cdf&vjs=3
236,Training Coordinator,Dubai,Deloitte & Touche (M.E.),"Deloitte is the world's largest and leading professional services firm, providing audit & assurance, consulting, financial advisory, risk advisory and tax and…",,https://uae.indeed.com/rc/clk?jk=d3de79f0fd434d35&fccid=9e215d88a6b33622&vjs=3
237,Massage Therapist,Abu Dhabi,VLCC international UAE Slimming and Beauty,"Massage Therapist is responsible for service delivery, in house revenue generation in slimming services under the general guidance of the center/slimming head…","AED3,500 - AED4,500 a month",https://uae.indeed.com/company/VLCC-international-UAE-Slimming-and-Beauty/jobs/Massage-Therapist-ca616e7185d736ce?fccid=44b3870be5e69d39&vjs=3
238,Accountant,Abu Dhabi,Black Pearl Consult,"Our client, a well-known dental center in the UAE is looking for an accountant to join their growing team.This role will be based in Abu Dhabi.",,https://uae.indeed.com/rc/clk?jk=b5d33d935272449b&fccid=e9d731aa91b2d791&vjs=3
239,Digital Marketing Executive,Dubai,First Response Healthcare LLC,"First Response Healthcare LLC is one of Dubai’s leading Home Healthcare Company.With a highly trained and qualified staff of doctors, who specialize in…","AED4,000 - AED5,000 a month",https://uae.indeed.com/company/First-Response-Healthcare-LLC/jobs/Digital-Marketing-Executive-d51139f66f47939c?fccid=338ac8ec172730d9&vjs=3
240,MIS Solution Architect,Dubai,MPC Healthcare,The MIS Analyst will help the organization to identify and create solutions that will move its processes from manual to digital capabilities by combining data…,,https://uae.indeed.com/company/MPC-Healthcare/jobs/Mis-Solution-Architect-ca4e8b11e7881d08?fccid=0a5a1088568eadf6&vjs=3
241,Hospital Infection Control Nurse,Abu Dhabi,Dar Al Shifaa Hospital,With excellent communications and problem solving skills designed to meet the challenges of the fast paced healthcare industry.,,https://uae.indeed.com/company/DAR-AL-SHIFAA-HOSPITAL/jobs/Hospital-Infection-Control-Nurse-e901f3225909c15f?fccid=56ff8dd709a760b5&vjs=3
242,"VP, Healthcare Investment",UAE,Leap29,"The team invest across the breadth of healthcare subsectors from Pharma, Pharma Services, MedTech, Animal Health and Healthcare IT in North America and Europe.",,https://uae.indeed.com/rc/clk?jk=e81ab9d2a5984f1d&fccid=b2f9c147b376d6bc&vjs=3
243,"Medical Representative, Al Ain – UAE",Al-Ayn,Acino Pharma,Build productive scientific-based HCP relationships taking responsibility for satisfaction and loyalty by meeting their healthcare needs.,,https://uae.indeed.com/rc/clk?jk=2f760b3128897325&fccid=203459eff15314bf&vjs=3
244,Assistant Operation Manager,Abu Dhabi,Reliance HR Consultancy,We are Hiring for Assistant Operations Manager for one of our Client in Healthcare and Hospitality .Assist with overseeing Housekeeping operations.,,https://uae.indeed.com/rc/clk?jk=10dd1575a171ebad&fccid=d88af2d1b430e04a&vjs=3
245,Business Developer/Sales,Abu Dhabi,Independent Health Information Technology Services,"At inHealth, we connect the stakeholders within the healthcare community by providing a user- friendly interface that facilitates easy communication across the…",,https://uae.indeed.com/rc/clk?jk=7aa70660c5f9aa80&fccid=87fc1d02db297652&vjs=3
246,Car Park Valet,Sharjah,PULLMAN,"Pullman Sharjah is a part of Terhab Towers joining the top 10 tallest towers in Sharjah skyline, an iconic new rise standing 160 meters tall hosting commercial …",,https://uae.indeed.com/rc/clk?jk=3269227b95d7f573&fccid=b13b25ebc7501b13&vjs=3
247,BMS/ICA Engineer,Abu Dhabi,VAMED Middle East,"VAMED may refer to a record of international success in all healthcare areas - prevention, acute care, rehabilitation, and nursing.",,https://uae.indeed.com/rc/clk?jk=452344ea6e949302&fccid=76adef59c523c118&vjs=3
248,Medical Information Officer-Medical Representative,Dubai,Julphar,Organises audio-visual activities for healthcare providers as per business need in coordination with direct manager.UNITED ARAB EMIRATES Work Location:,,https://uae.indeed.com/rc/clk?jk=c841b06b273551c1&fccid=02ea1bee6fdc4b67&vjs=3
249,Medical Sales Representative (Surgical Products),Abu Dhabi,RTC-1 Employment Services,The client is one of largest distributors of healthcare supplies in UAE.45 years old and below • Bachelor's degree in medical field or any relevant certificate…,,https://uae.indeed.com/rc/clk?jk=7c2ba099ffa60d66&fccid=a0f4df2b71213d85&vjs=3
250,Supply Chain and Commercial Excellence Coordinator,Dubai,Dubai Investments,"The Company has grown exponentially with investments in a number of businesses across sectors - real estate, manufacturing & industrial, healthcare, education…",,https://uae.indeed.com/rc/clk?jk=d201cb789566e6ad&fccid=159192311038adf9&vjs=3
251,Senior Software Engineer,Abu Dhabi,Independent Health Information Technology Services,"At inHealth, we connect the stakeholders within the healthcare community by providing a user- friendly interface that facilitates easy communication across the…",,https://uae.indeed.com/rc/clk?jk=c7d78cac4cc01dc8&fccid=87fc1d02db297652&vjs=3
252,Product Content Writer,Dubai,SouKare Pharmacy LLC,"SouKare.com is a Dubai-based online healthcare start-up, aiming to re-define healthcare convenience in the region. We provide a 90-minute delivery service in…",,https://uae.indeed.com/company/SouKare-Pharmacy-LLC/jobs/Product-Content-Writer-6f8ccf3a797cca31?fccid=a48b4c0024962ebb&vjs=3
253,[NON IT] Project Manager - PMO- Healthcare,Abu Dhabi,Marc Ellis Consulting,"10+ years in Project Management specifically in making Healthcare, Lab facilities operational (Non healthcare PMs please do not apply for this role).",,https://uae.indeed.com/rc/clk?jk=4ca76e40821d8e2f&fccid=d25332eb688f9794&vjs=3
254,Assistant Professor in Integrated Strategic Communications,Abu Dhabi,Zayed University,"Zayed University’s benefits package is highly attractive, with competitive salaries free of tax in the United Arab Emirates, housing, a furniture allowance,…",,https://uae.indeed.com/rc/clk?jk=dcb034fdad92ced2&fccid=9628b0bd10bde506&vjs=3
255,Receptionist / Customer Service Executives (Female Only),Dubai,GMC Clinics,"If any good experience in Healthcare dental clinic will be added advantage.Should have knowledge and skills in healthcare customer service, insurance approvals…",,https://uae.indeed.com/rc/clk?jk=c262f46618ffd1de&fccid=60c94cf66ee74424&vjs=3
256,E-Commerce and Mobile Manager (Sales),Dubai,The Emirates Group,"On top of our generous travel benefits, including discounted flights and hotel stays around the world, this managerial role also has an excellent leave and…",,https://uae.indeed.com/rc/clk?jk=2c950dcfebeda916&fccid=9ef97ff407fc27fd&vjs=3
257,Western Pediatric Oncologist,Dubai,Allocation Assist Dubai,Leading a treatment team of other physicians and healthcare workers.We currently have a vacancy for a Western Pediatric Oncologist with one of our hospitals in…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-UuX9_p0ntRvRhtvtwMyGb5wnngVmu-Ci8ZfphnzOV636k66aDGlyskaX-zE5r2hOp-sxOUTHQaulvAzA9WPlTqKdoyrB3xzuq36B7yqdtdEnODbRGGua5rT30fCI2DFsLTvHn7ACwvHbraOj8PS7jtGLHXZhxmy3yC3s9hgmAjccTykUJ5WAQCOlpCZhPMBJ2JjhMM1_fo0O3y5pQmmqYSEg5Qdd3rf_au6iPOU3HUbL61KRP6TFhbz-mn56rLnprhHpC_Bc4n1L3U51f3giSlbF8H2-16W8JGI4hgpXCSoc9fkeQzXikEhXBMWJKtTAZCcL74CayytKiiADyqBv4Fc4qmg54P9JK81pOSD5Fiqf0hkMy_I9Vv40f3BJgqugJFM4_gDO8id08MvC4TYmy6g294tFUlKV5dcNMpH_sic9Wqk2huQ70CO-WRMW0te1Ab_BXPCxxQ==&p=0&fvj=1&vjs=3
258,Specialist Dermatologist,Dubai,Fattan Dental & Derma Clinic,"We are looking for an experienced and passionate Dermatologist to join our healthcare team!As a Dermatologist at our clinic, you will be responsible for…",,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CN_PW9fZd2Bqzk4KKx0hvYiJK6wuGJDlkpAWqRsVrv5gu3FIpn57FN_e0mqW8Sm0jFG_C5upQ9WXyIAuTz7h0A3Oa5qDlS_3ts6A52zMj9UB0ZuVN5Kwrmcr6XijyF-TP5lvyWE5ptxX_gZtdYU4f_M6LEB0R1MpHJodSj02wmJWGStooQKEAHUy0dwkCz5kSraKFFdprie3dtumc9iFtCDE9UGhBFpazpzdkzhbWvn_kXwbYjsbuzTkfNc2IrEPEi7MDA0bI8j_jFbSExRvThvCOUq43pAaTomlFlkOuLv7e-3EC5PHMhKSQQi_kJjXWFpJxueFIySIXr1WoBPvzMagkoIWFqL1pDsPuWhGpJrjN6jyL4l09hNWdK4rzXwTgHItHHgMhTtUdrExC0H453mWm7nfEaikY9y_q6KyshHuIGwH_gg6a-gjlCumZfc7N5yoIm_Hm1HTEh4O7f6ZiX&p=1&fvj=1&vjs=3
259,Registered Nurse,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1j0fP6nr8cYiyX3IGan2wZbttR0MOh3lm6AgcbYQoOjqpE9G_MfYJF92M0QMboQJ0lu9o0CPTp_RuPYmnv-fCUbWSKcSXYMrmLMiFgd94K6A4FPuYdXJQOm9IaO6SavP9OL4hVIOSX7dR-BuGllp74NPZhpCV_p_A4aBb1mGm_jKwACrxE6mYDBPbwfdWRRTssBCvHSXLjXdammccLb5c_6uvtwmJ_28CIjI-lsA4mOM9gDPD2XWZbOdWB8Y1-dV7i5iP0dIp3QUV1j4yG7HKLfmQk2fBXq4GJ4LvD0t3ZDh2mHvMVAValMWxC4jVTb2RVRKg2uHm9v9jQfG3LGVMpCwH_IXF4wUTA7tBlEu2t81HDOYcPyFtY_5C1cRHZOsLBYhDxnjE7qxY=&p=2&fvj=1&vjs=3
260,Reference Technician,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., Cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=e885c919c47e1e91&fccid=9628b0bd10bde506&vjs=3
261,PR & Communications Executive - Female,Dubai,Prognica Labs,"Prior experience of technology and / or healthcare industry preferred.University degree (Bachelor/Master), preferably in Marketing or Communications with…",,https://uae.indeed.com/rc/clk?jk=7980008294840ffa&fccid=71590b46c05f8c89&vjs=3
262,Product Manager (Healthcare),Abu Dhabi,HAYS,"Previous experience identifying, conceptualising and developing new products within healthcare.Product Manager within healthcare domain for a 12 month…",,https://uae.indeed.com/rc/clk?jk=190ed94576bc2a8e&fccid=31670bef3ae6497b&vjs=3
265,Research Assistant in Human Data Interaction Lab - Prof. Azz...,Abu Dhabi,New York University,"The successful applicant will work on one to two collaborative projects on supporting decision-makers in a variety of domains such as healthcare, epidemiology,…",,https://uae.indeed.com/rc/clk?jk=21d8ef2c0671ddea&fccid=8077183a161ef0fd&vjs=3
266,Secretary / Insurance Coordinator,Dubai,Physiocare FZ LLC,Our Premium Clinic located in Dubai Healthcare City is looking for an Insurance Coordinator/ Medical Secretary.Social distancing guidelines in place.,,https://uae.indeed.com/company/Physiocare-FZ-LLC/jobs/Secretary-9398f768a8c44d6a?fccid=05e86ca1eace5fee&vjs=3
267,Specialist Orthodontics,Abu Dhabi,Sama Alshamkha Medical Center,"Sama Alshamkha Medical Center brings quality healthcare services closer to patients and their families.Design, fabricate or use orthodontic appliances to…",,https://uae.indeed.com/rc/clk?jk=5779f37ad780b738&fccid=8e08b3fd1ff37d34&vjs=3
268,Content Strategy Manager (Technical),Abu Dhabi,Digital14,"From first class healthcare and education, to superior living accommodations and cultural attractions, you’ll find your ideal career and more in this global…",,https://uae.indeed.com/rc/clk?jk=d58119997646e640&fccid=5b40d42bd5f69c2c&vjs=3
269,"Program and National Test Center Coordinator, Al Dhafra",UAE,University of Maryland Global Campus,"UMGC offers competitive compensation and comprehensive benefits for qualifying positions, such as tuition remission, generous leave and healthcare.",,https://uae.indeed.com/rc/clk?jk=f91e98baf653c1c5&fccid=5f3d6765ff4e19b6&vjs=3
270,plastic surgeon,Dubai,al sohool orthodontic and dental center,"Are healthcare professionals who modify, improve, and reconstruct parts of the human body.They work with patients who have birth defects, as well as those…","AED10,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5FjaWC1_44fXB12ZX5lERrPBNowmPhbhmdDxnHwSPQRjU_ZvUiVCv-alcagy1JKOjCrSi42JHFsqUUh-fiB21-mcbeaHQbFsQujrRPk6q9IgttY_vWE67Ncu_jlFIktTMyXJEIPor76R98KVqiKZOEJLL1r14_BwwbNxpLwUckayI8WqB1_KiIps1-Dc2Gj6jNjl7gKH7uMOMlOxr4PbefSVbJRHl8eN9m6EqMBImL8SeyTljkJEx81wwx-o_-bU2EmLQ5ADUKZl7CUsLuc2fv8bNd8pVmjvLuM8r1fq91JnLSEt2mOmOleQLmRdS55rxXSAWhS8J8ajXaEpDU8CfOqAC1lg9n6W9zn_d5wnjnUFA4s5qHQKHG1sFmkPUY8JvJgYtM9FGcTXaYuPbhWYqBkx4ACpfoP6uqlBv5r20DJzZfYa1vc75&p=13&fvj=1&vjs=3
271,Senior Operations Officer (UAE Nationals Only with Family Bo...,Abu Dhabi,MDC Business Management Services,"\*Preferred - Healthcare and others (airline, hospitality), industry or sector within UAE only.Reporting to the Operations Manager, the Senior Operations…","AED30,000 - AED35,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXjjAlOCbQxIMFcoVa-id-9VsDv4se0BFeHHAzdcsaRj6vCn3qpHJvMvMgnTPb8MC3NxyjTZvS2QQoCTgnrXQI111bMH273qTwVXarTNAEyee3ng1njbbnpBEKZFMyeYgH5Vr_SlaDW8yGqEwE5fjPabbWkQ5skD0qEdPFKds5knIq2VeLGEsHnA67P3ILjALCgF69qaCiT9Nzy2seQf9ybvU2TF0RLXW5KKuEQkdK_lXupmWmsfmpGPwV5YDMibafF-87p3nE3DMtDmliO1sAwVMl_C-dR2kzPekljLlQmRhB17vggFwd6JkyegrOG5wJaTDN-84nH2q9bMhO6U_diPFjTZM8V3YrNJIa36gCqJr7nXvujAnfqArYU0H13OV8lcbfKmVXSv3muwnoodHoaGOzDJrGT4dKoxPPCTIC_Ib2mvo0BYVkzqQX39j13rMZLimV_RO72XudSn7L1yC7P16yjlVFTqLHxoczAzk5xpIoBqeZ9GUK&p=14&fvj=1&vjs=3
272,"Patient Relationship Executive at Aims Healthcare, Dubai",Dubai,Aims Healthcare LLC,"Customer centric and service oriented with minimum 2 years healthcare experience in customer care, Customer service or front office.","AED2,000 - AED4,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AYnSiOySX41EcwOmQYJl3y-tfMmK8ojmVBNkVpGKyx3VTh3CXp6iz4FBp_ZKCWaxx5qIsp5SLs0SSxkXyqiw6acmzd9-JUSmofDZwqBtpc_PK90sarR-xBWcGn3_YYbarbiQkqo-UanBH7lDVrfHgGPH1PSXYn9ZbV1OYSzBetC4rK1EZ2yWpAewiwWfHhyP8cp7Y4g-rAP7yfbcHV0b4ORpEa4tESSz-jogUWpPKBxU_X46wJRSis0Om8bguSxL8O6tzad03pjzfY75_aKNfjuvk_TGxVwuaQDjjfYmKDe39v_5nnl1ILg-0gYNh4OtMB9nBU1zQBTidOUlhrwtOLuCjT_9CERM6NDT0d0_gV7m1aU82ouubvi4dIqxnJLl_dN3MBJOlxDp6Ez27Qddk8dXUoEAhn9AZSK5vBMPrCSMRTypXBAwp8UkPHluS-DJcpxMaQubnrML8L-Lah0Un_LczO8N0zADo=&p=15&fvj=1&vjs=3
273,General Practitioner,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1jn9TWs52YXmQf-fYYkDbRxnZ-lagDTk3jchppXgeEBW9krHbqVxiWSQitMHwZheynTDuqLDuKf98boGendI1Tqr0RCpWdlsOIKTYIZ2YfbVIXpTuXPxFZyxiGYErEbi-uCSBujicG-h9MOwAZf5JDo6EjW0veeJ5kckZKVxUTRW1At8fBf6CePLSLv8Uh6vvG26tDktFPua8P4OJsTl3mC_dsxne0POskHIjilgFdt8dfcUtXmv8sLgXlq5oMnwcMqMnWown6OfG--D6xlzx01O-JL23Y2MTViGs7ZqvlGET8JpEs9df47142j_DDUehggSOEygcQ24DzrlyE8NFlzzxzQAYqMh4UpO1-xeyXr1H5sUykCqvQzl_5zExGJ5aG3CRUTdHpxr4=&p=16&fvj=1&vjs=3
